user_id,content_id,date,content_type,category,minutes_consumed
1,1,2025-10-20,Reading,Relationships,42
1,2,2025-10-21,Video,Relationships,31
1,3,2025-10-22,Audio,Relationships,22
1,4,2025-10-23,Video,Self-esteem,49
1,5,2025-10-24,Audio,Sleep,18
1,6,2025-10-25,Video,Stress,87
1,7,2025-10-26,Video,Sleep,29
1,8,2025-10-27,Video,Self-esteem,56
1,9,2025-10-28,Reading,Self-esteem,35
1,10,2025-10-29,Reading,Self-esteem,8
1,11,2025-10-30,Reading,Self-esteem,19
1,12,2025-10-31,Video,Relationships,71
1,13,2025-11-01,Reading,Stress,26
1,14,2025-11-02,Reading,Sleep,40
1,15,2025-11-03,Reading,Self-esteem,25
1,16,2025-11-04,Audio,Sleep,7
1,17,2025-11-05,Video,Stress,83
1,18,2025-11-06,Reading,Self-esteem,27
1,19,2025-11-07,Audio,Anxiety,53
1,20,2025-11-08,Video,Self-esteem,52
1,21,2025-11-09,Reading,Sleep,33
1,22,2025-11-10,Video,Stress,41
1,23,2025-11-11,Reading,Relationships,7
1,24,2025-11-12,Reading,Relationships,17
1,25,2025-11-13,Reading,Self-esteem,14
1,26,2025-11-14,Video,Self-esteem,52
1,27,2025-11-15,Reading,Sleep,27
1,28,2025-11-16,Reading,Relationships,31
1,29,2025-11-17,Video,Sleep,81
1,30,2025-11-18,Reading,Sleep,38
1,31,2025-11-19,Video,Sleep,33
1,32,2025-11-20,Reading,Self-esteem,38
1,33,2025-11-21,Video,Anxiety,61
1,34,2025-11-22,Video,Sleep,87
1,35,2025-11-23,Video,Sleep,16
1,36,2025-11-24,Video,Sleep,31
1,37,2025-11-25,Video,Self-esteem,5
1,38,2025-11-26,Reading,Self-esteem,20
1,39,2025-11-27,Reading,Sleep,36
1,40,2025-11-28,Audio,Self-esteem,15
1,41,2025-11-29,Audio,Sleep,48
1,42,2025-11-30,Audio,Relationships,39
1,43,2025-12-01,Audio,Relationships,47
1,44,2025-12-02,Video,Sleep,58
1,45,2025-12-03,Reading,Relationships,35
1,46,2025-12-04,Reading,Relationships,33
1,47,2025-12-05,Video,Self-esteem,70
1,48,2025-12-06,Audio,Anxiety,10
1,49,2025-12-07,Video,Sleep,31
1,50,2025-12-08,Video,Stress,53
1,51,2025-12-09,Audio,Sleep,30
1,52,2025-12-10,Reading,Stress,29
1,53,2025-12-11,Audio,Stress,42
1,54,2025-12-12,Video,Relationships,69
1,55,2025-12-13,Reading,Stress,30
1,56,2025-12-14,Reading,Sleep,34
1,57,2025-12-15,Reading,Relationships,44
1,58,2025-12-16,Audio,Stress,57
1,59,2025-12-17,Audio,Self-esteem,29
1,60,2025-12-18,Video,Stress,64
1,61,2025-12-19,Audio,Stress,53
1,62,2025-12-20,Reading,Stress,8
1,63,2025-12-21,Audio,Anxiety,37
1,64,2025-12-22,Reading,Stress,17
1,65,2025-12-23,Video,Sleep,83
1,66,2025-12-24,Reading,Anxiety,34
1,67,2025-12-25,Audio,Anxiety,6
1,68,2025-12-26,Video,Self-esteem,39
1,69,2025-12-27,Reading,Anxiety,43
1,70,2025-12-28,Reading,Self-esteem,11
1,71,2025-12-29,Audio,Anxiety,54
1,72,2025-12-30,Reading,Self-esteem,20
1,73,2025-12-31,Reading,Sleep,24
2,74,2025-10-07,Reading,Self-esteem,36
2,75,2025-10-08,Audio,Self-esteem,24
2,76,2025-10-09,Video,Stress,69
2,77,2025-10-10,Reading,Stress,11
2,78,2025-10-11,Video,Anxiety,23
2,79,2025-10-12,Audio,Self-esteem,22
2,80,2025-10-13,Video,Self-esteem,77
2,81,2025-10-14,Audio,Stress,36
2,82,2025-10-15,Audio,Relationships,11
2,83,2025-10-16,Reading,Stress,41
2,84,2025-10-17,Video,Self-esteem,68
2,85,2025-10-18,Audio,Anxiety,40
2,86,2025-10-19,Reading,Relationships,25
2,87,2025-10-20,Video,Anxiety,72
2,88,2025-10-21,Video,Anxiety,35
2,89,2025-10-22,Reading,Self-esteem,28
2,90,2025-10-23,Reading,Relationships,9
2,91,2025-10-24,Reading,Self-esteem,34
2,92,2025-10-25,Audio,Self-esteem,13
2,93,2025-10-26,Audio,Stress,54
2,94,2025-10-27,Audio,Sleep,46
2,95,2025-10-28,Audio,Self-esteem,20
2,96,2025-10-29,Reading,Stress,10
2,97,2025-10-30,Audio,Stress,52
2,98,2025-10-31,Reading,Self-esteem,32
2,99,2025-11-01,Video,Self-esteem,40
2,100,2025-11-02,Reading,Relationships,39
2,101,2025-11-03,Video,Stress,70
2,102,2025-11-04,Video,Self-esteem,42
2,103,2025-11-05,Audio,Anxiety,23
2,104,2025-11-06,Audio,Relationships,28
2,105,2025-11-07,Video,Relationships,72
